source	relation	target
1 from 2	spawned	Cooperation Yields Agency
1 from 2	connects-to	Spinoza Conatus
1 from 2	mirrors	Symbiotic Skills
1 from 2	connects-to	FOUR PILLARS
1 from 2	mirrors	Endosymbiosis
1 from 2	connects-to	Trickster
Boundary-Crossing Instruments	connects-to	FOUR PILLARS
Boundary-Crossing Instruments	spawned	Frequency-Time Duality
Boundary-Crossing Instruments	connects-to	Kuramoto Coupling
Boundary-Crossing Instruments	mirrors	Hyperdimensional Prism
Boundary-Crossing Instruments	enables	Symbiotic Skills
Boundary-Crossing Instruments	connects-to	Action Potential Oscillator
Claude CLI Reference	enables	SUBSTRATE
Claude CLI Reference	connects-to	Modes of Collaboration
Claude CLI Reference	enables	Palace Ceremonies
Claude CLI Reference	connects-to	Pages as Agents
Confucianism	connects-to	Palace Philosophies
Confucianism	contradicts	Stoicism
Confucianism	spawned	The Fortress and the Threshold
Confucianism	connects-to	Excellent Adventure
Confucianism	connects-to	Hilaritas Generator
Confucianism	connects-to	Symbiotic Skills
Confucianism	connects-to	Spinoza Conatus
Confucianism	connects-to	Cooperation Yields Agency
Cooperation Yields Agency	emerged-from	1 from 2
Cooperation Yields Agency	mirrors	Kuramoto Coupling
Cooperation Yields Agency	deepens	Spinoza Conatus
Cooperation Yields Agency	enables	FOUR PILLARS
Cooperation Yields Agency	spawned	Symbiotic Skills
Cooperation Yields Agency	mirrors	Endosymbiosis
Cooperation Yields Agency	mirrors	Mixture of Experts
Cooperation Yields Agency	connects-to	Quality
Cooperation Yields Agency	spawned	Modes of Collaboration
DSP Frameworks	enables	FOUR PILLARS
DSP Frameworks	connects-to	Biomechanical Synthesis
DSP Frameworks	connects-to	Action Potential Oscillator
DSP Frameworks	connects-to	JSUI
DSP Frameworks	connects-to	Preset Oracle
DSP in Looping Dimensions	couples-with	2D Torus Wavetable Synthesizer
DSP in Looping Dimensions	mirrors	Frequency-Time Duality
DSP in Looping Dimensions	connects-to	Kuramoto Coupling
DSP in Looping Dimensions	connects-to	Wallpaper Groups
Differential Equations	connects-to	Action Potential Oscillator
Differential Equations	connects-to	Portamento and Physical Pitch Modeling
Differential Equations	connects-to	Bessel Functions in Synthesis
Differential Equations	connects-to	Kuramoto Coupling
Differential Equations	connects-to	Granular Synthesis
Differential Equations	connects-to	Compressor Design
Differential Equations	connects-to	Quantum Synthesizer
Differential Equations	spawned	Resonance and Damping
Differential Equations	connects-to	Crystal Synthesizer
Differential Equations	connects-to	Latent Error
Dispersion	connects-to	Hyperdimensional Prism
Dispersion	connects-to	Categorizing Inharmonicity
Dispersion	connects-to	Granular Synthesis
Dispersion	connects-to	Compressor Design
Dispersion	connects-to	Bessel Functions in Synthesis
Dispersion	enables	Crystal Synthesizer
Dispersion	enables	Particle Synthesis
Dispersion	connects-to	Portamento and Physical Pitch Modeling
Dispersion	deepens	Piano String Inharmonicity
Dispersion	connects-to	Shimmer Cloud
Dub Lineage	mirrors	Trickster
Dub Lineage	enables	Retrospective Delay
Dub Lineage	deepens	Semantic Delay
Dub Lineage	connects-to	Playful Interface Design
Embeddings as Relational Meaning	emerged-from	Meaning and the Link
Embeddings as Relational Meaning	instantiates	SUBSTRATE
Embeddings as Relational Meaning	connects-to	Hyperdimensional Prism
Embeddings as Relational Meaning	enables	Cooperation Yields Agency
Embeddings as Relational Meaning	mirrors	Spinoza Conatus
Endosymbiosis	mirrors	Cooperation Yields Agency
Endosymbiosis	mirrors	Spinoza Conatus
Endosymbiosis	connects-to	Kuramoto Coupling
Endosymbiosis	connects-to	SUBSTRATE
Endosymbiosis	mirrors	1 from 2
Endosymbiosis	connects-to	Hilaritas Generator
Endosymbiosis	mirrors	Deposit Ceremony
